indicator,date,rate
open,2021-11-17 20:00:00,35.07
high,2021-11-17 20:00:00,35.07
low,2021-11-17 20:00:00,35.07
close,2021-11-17 20:00:00,35.07
open,2021-11-17 19:59:00,35.0
high,2021-11-17 19:59:00,35.0
low,2021-11-17 19:59:00,35.0
close,2021-11-17 19:59:00,35.0
open,2021-11-17 16:58:00,35.05
high,2021-11-17 16:58:00,35.05
low,2021-11-17 16:58:00,35.05
close,2021-11-17 16:58:00,35.05
open,2021-11-17 16:01:00,34.94
high,2021-11-17 16:01:00,34.94
low,2021-11-17 16:01:00,34.94
close,2021-11-17 16:01:00,34.94
open,2021-11-17 16:00:00,34.96
high,2021-11-17 16:00:00,34.965
low,2021-11-17 16:00:00,34.93
close,2021-11-17 16:00:00,34.93
open,2021-11-17 15:59:00,34.96
high,2021-11-17 15:59:00,34.965
low,2021-11-17 15:59:00,34.92
close,2021-11-17 15:59:00,34.965
open,2021-11-17 15:58:00,34.975
high,2021-11-17 15:58:00,34.98
low,2021-11-17 15:58:00,34.96
close,2021-11-17 15:58:00,34.96
open,2021-11-17 15:57:00,34.975
high,2021-11-17 15:57:00,34.99
low,2021-11-17 15:57:00,34.97
close,2021-11-17 15:57:00,34.975
open,2021-11-17 15:56:00,34.99
high,2021-11-17 15:56:00,35.0
low,2021-11-17 15:56:00,34.97
close,2021-11-17 15:56:00,34.9701
open,2021-11-17 15:55:00,34.99
high,2021-11-17 15:55:00,35.0
low,2021-11-17 15:55:00,34.9828
close,2021-11-17 15:55:00,35.0
open,2021-11-17 15:54:00,35.0
high,2021-11-17 15:54:00,35.0
low,2021-11-17 15:54:00,34.99
close,2021-11-17 15:54:00,34.99
open,2021-11-17 15:53:00,34.99
high,2021-11-17 15:53:00,35.0
low,2021-11-17 15:53:00,34.98
close,2021-11-17 15:53:00,34.995
open,2021-11-17 15:52:00,34.95
high,2021-11-17 15:52:00,34.995
low,2021-11-17 15:52:00,34.95
close,2021-11-17 15:52:00,34.98
open,2021-11-17 15:51:00,34.945
high,2021-11-17 15:51:00,34.96
low,2021-11-17 15:51:00,34.93
close,2021-11-17 15:51:00,34.94
open,2021-11-17 15:50:00,34.97
high,2021-11-17 15:50:00,34.97
low,2021-11-17 15:50:00,34.935
close,2021-11-17 15:50:00,34.94
open,2021-11-17 15:49:00,34.97
high,2021-11-17 15:49:00,34.98
low,2021-11-17 15:49:00,34.97
close,2021-11-17 15:49:00,34.98
open,2021-11-17 15:48:00,34.98
high,2021-11-17 15:48:00,34.99
low,2021-11-17 15:48:00,34.975
close,2021-11-17 15:48:00,34.975
open,2021-11-17 15:47:00,34.98
high,2021-11-17 15:47:00,34.99
low,2021-11-17 15:47:00,34.98
close,2021-11-17 15:47:00,34.985
open,2021-11-17 15:46:00,34.9795
high,2021-11-17 15:46:00,34.99
low,2021-11-17 15:46:00,34.97
close,2021-11-17 15:46:00,34.98
open,2021-11-17 15:45:00,34.97
high,2021-11-17 15:45:00,34.975
low,2021-11-17 15:45:00,34.97
close,2021-11-17 15:45:00,34.975
open,2021-11-17 15:44:00,34.975
high,2021-11-17 15:44:00,34.975
low,2021-11-17 15:44:00,34.965
close,2021-11-17 15:44:00,34.97
open,2021-11-17 15:43:00,34.98
high,2021-11-17 15:43:00,34.98
low,2021-11-17 15:43:00,34.975
close,2021-11-17 15:43:00,34.975
open,2021-11-17 15:42:00,34.98
high,2021-11-17 15:42:00,34.98
low,2021-11-17 15:42:00,34.96
close,2021-11-17 15:42:00,34.96
open,2021-11-17 15:41:00,34.97
high,2021-11-17 15:41:00,34.99
low,2021-11-17 15:41:00,34.97
close,2021-11-17 15:41:00,34.98
open,2021-11-17 15:40:00,34.97
high,2021-11-17 15:40:00,34.97
low,2021-11-17 15:40:00,34.96
close,2021-11-17 15:40:00,34.97
open,2021-11-17 15:39:00,34.985
high,2021-11-17 15:39:00,34.985
low,2021-11-17 15:39:00,34.965
close,2021-11-17 15:39:00,34.97
open,2021-11-17 15:38:00,34.98
high,2021-11-17 15:38:00,34.99
low,2021-11-17 15:38:00,34.98
close,2021-11-17 15:38:00,34.99
open,2021-11-17 15:37:00,35.015
high,2021-11-17 15:37:00,35.015
low,2021-11-17 15:37:00,34.975
close,2021-11-17 15:37:00,34.98
open,2021-11-17 15:36:00,35.02
high,2021-11-17 15:36:00,35.0205
low,2021-11-17 15:36:00,35.015
close,2021-11-17 15:36:00,35.015
open,2021-11-17 15:35:00,35.035
high,2021-11-17 15:35:00,35.035
low,2021-11-17 15:35:00,35.02
close,2021-11-17 15:35:00,35.02
open,2021-11-17 15:34:00,35.03
high,2021-11-17 15:34:00,35.05
low,2021-11-17 15:34:00,35.03
close,2021-11-17 15:34:00,35.05
open,2021-11-17 15:33:00,35.06
high,2021-11-17 15:33:00,35.06
low,2021-11-17 15:33:00,35.03
close,2021-11-17 15:33:00,35.03
